Invoice_ID,Date,Customer_Name,Customer_Email,Product_Name,Category,Quantity,Unit_Price,Discount(%),Payment_Method,Store_Location,Salesperson,Total_Sales
INV1000,12/27/2025,Robin Hughes,jsimon@gmail.com,Chocolate Gift Box,Beverages,4,22.39,10,Mobile Payment,Uptown,Martha,80.6
INV1001,10/31/2025,Jessica Welch,scott29@gmail.com,Chocolate Truffles,Gifts,6,23.37,5,Mobile Payment,Airport Kiosk,Connor,133.21
INV1002,4/16/2025,Lance Kelley,davidgarrison@gmail.com,Hot Chocolate Mix,Nuts,6,24.89,0,Cash,Airport Kiosk,Nicole,149.34
INV1003,6/15/2025,Alvin Alvarado,rfitzpatrick@cook-mckenzie.com,Chocolate Gift Box,Bars,1,6.41,10,Online Transfer,Uptown,Charles,5.77
INV1004,6/5/2025,Linda Hartman,hernandezstephanie@mercer.com,White Chocolate Bar,Nuts,8,11.42,15,Cash,Airport Kiosk,Cynthia,77.66
INV1005,7/26/2025,Jill Warren,awilson@gmail.com,Hot Chocolate Mix,Gifts,6,19.56,0,Mobile Payment,Uptown,Caleb,117.36
INV1006,12/8/2025,Kim Bradford,cchambers@yahoo.com,Hot Chocolate Mix,Gifts,3,18.16,0,Credit Card,Mall Outlet,Steven,54.48
INV1007,11/30/2025,Logan Reynolds,gonzalesthomas@yahoo.com,Chocolate Gift Box,Gifts,9,5.96,15,Cash,Airport Kiosk,Marc,45.59
INV1008,10/29/2025,Mr. Thomas Chambers III,april59@yahoo.com,Milk Chocolate Bar,Nuts,2,20.86,5,Cash,Mall Outlet,Scott,39.63
INV1009,1/31/2026,Jason Johnson,ohorne@baker.com,White Chocolate Bar,Gifts,8,7.55,15,Credit Card,Downtown,Jennifer,51.34
INV1010,7/13/2025,Ethan Wilson,pollardjames@hotmail.com,Chocolate Gift Box,Nuts,3,7.54,0,Cash,Mall Outlet,Justin,22.62
INV1011,8/25/2025,Jessica Peters,grimesgary@gmail.com,White Chocolate Bar,Gifts,5,14.58,15,Credit Card,Mall Outlet,Nicole,61.96
INV1012,3/14/2025,Matthew Donovan,olivermark@gmail.com,White Chocolate Bar,Beverages,6,15.84,10,Online Transfer,Uptown,William,85.54
INV1013,4/19/2025,Dwayne Bradley,richardwatts@gonzalez.info,Hot Chocolate Mix,Gifts,6,15.55,15,Credit Card,Mall Outlet,Victoria,79.31
INV1014,9/18/2025,James Brewer,davidwilliams@lang-santiago.com,Chocolate Truffles,Nuts,4,4.56,0,Online Transfer,Airport Kiosk,Tonya,18.24
INV1015,8/6/2025,Douglas Rodriguez,jameselizabeth@leon-oneill.org,White Chocolate Bar,Truffles,3,22.24,15,Credit Card,Uptown,Aaron,56.71
INV1016,12/20/2025,Larry Brooks,patriciagoodman@gmail.com,Chocolate-Covered Nuts,Gifts,4,8.48,5,Mobile Payment,Downtown,Linda,32.22
INV1017,10/9/2025,Kayla Williams,amy42@gmail.com,Hot Chocolate Mix,Truffles,1,5.41,15,Mobile Payment,Airport Kiosk,Austin,4.6
INV1018,11/28/2025,Emily Johnson,dennis72@white-gibbs.net,Milk Chocolate Bar,Beverages,4,22.5,5,Online Transfer,Downtown,Peggy,85.5
INV1019,12/15/2025,Ryan West,smithsusan@hotmail.com,Chocolate Truffles,Bars,1,24,10,Online Transfer,Mall Outlet,Sarah,21.6
INV1020,7/7/2025,Lisa Mitchell,karnold@woods.com,Chocolate-Covered Nuts,Beverages,1,21.9,5,Mobile Payment,Airport Kiosk,Derrick,20.8
INV1021,5/1/2025,Mark Moore,lstevenson@gmail.com,Chocolate-Covered Nuts,Gifts,6,20.71,15,Online Transfer,Airport Kiosk,Russell,105.62
INV1022,9/12/2025,William Howell,anthonyjones@yahoo.com,Milk Chocolate Bar,Truffles,5,17.24,0,Credit Card,Downtown,Brittany,86.2
INV1023,9/16/2025,Erika Lee,garrett31@yahoo.com,Chocolate Truffles,Truffles,4,14.89,5,Credit Card,Airport Kiosk,George,56.58
INV1024,11/22/2025,Jessica Fletcher,pwhite@carr.com,Hot Chocolate Mix,Nuts,3,4.46,10,Mobile Payment,Airport Kiosk,Samantha,12.04
INV1025,9/9/2025,Teresa Dean,eskinner@yahoo.com,Dark Chocolate Bar,Truffles,1,11.69,5,Cash,Airport Kiosk,Michael,11.11
INV1026,1/24/2026,Chad Collins,smithjulian@hotmail.com,Chocolate Truffles,Nuts,6,10.89,5,Credit Card,Mall Outlet,Stephanie,62.07
